127.0.0.1, 2014-07-16 21:50:26, GET, /, HTTP/1.1, 303, 5.802567
127.0.0.1, 2014-07-16 21:50:29, GET, /ForCA/default/home, HTTP/1.1, 200, 2.378145
127.0.0.1, 2014-07-16 21:50:34, GET, /ForCA/prof/list, HTTP/1.1, 500, 2.613893
127.0.0.1, 2014-07-16 21:50:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000467
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.21-50-32.b57ac15a-8adb-4d03-883c-f6c7dda6dc6a, HTTP/1.1, 303, 0.012601
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/default/index, HTTP/1.1, 200, 0.034183
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000667
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000529
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000383
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000575
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000572
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000473
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000606
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.000409
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001778
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000586
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/images/start.png, HTTP/1.1, 200, 0.000499
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/images/header_bg.png, HTTP/1.1, 200, 0.002347
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/images/menu.png, HTTP/1.1, 200, 0.000478
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 200, 0.000400
127.0.0.1, 2014-07-16 21:50:36, GET, /admin/static/images/sidebar_bullet.gif, HTTP/1.1, 200, 0.000557
127.0.0.1, 2014-07-16 21:50:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000289
127.0.0.1, 2014-07-16 21:50:39, POST, /admin/default/index, HTTP/1.1, 303, 0.017717
127.0.0.1, 2014-07-16 21:50:39, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.21-50-32.b57ac15a-8adb-4d03-883c-f6c7dda6dc6a, HTTP/1.1, 200, 0.038380
127.0.0.1, 2014-07-16 21:50:39, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.000584
127.0.0.1, 2014-07-16 21:50:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000287
127.0.0.1, 2014-07-16 21:52:47, GET, /, HTTP/1.1, 500, 2.059456
127.0.0.1, 2014-07-16 21:52:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000751
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.21-52-45.af824244-a459-4c9b-9304-c5f1f31b68fd, HTTP/1.1, 200, 0.088211
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000893
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000618
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000948
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.001347
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.000486
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.001589
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.000474
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.003299
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.000501
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/images/help.png, HTTP/1.1, 200, 0.000412
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 304, 0.000819
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 304, 0.000379
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/images/section_bullet.png, HTTP/1.1, 304, 0.000395
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/images/menu.png, HTTP/1.1, 304, 0.002029
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/images/start.png, HTTP/1.1, 304, 0.003589
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/images/header_bg.png, HTTP/1.1, 304, 0.000449
127.0.0.1, 2014-07-16 21:52:49, GET, /admin/static/images/small_button.png, HTTP/1.1, 200, 0.000495
127.0.0.1, 2014-07-16 21:52:50, GET, /favicon.ico, HTTP/1.1, 400, 0.000340
127.0.0.1, 2014-07-16 21:55:56, GET, /, HTTP/1.1, 500, 2.206251
127.0.0.1, 2014-07-16 21:55:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000388
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/default/ticket/ForCA/127.0.0.1.2014-07-16.21-55-53.9882cd74-a6e2-4943-a40d-4950fc2016f4, HTTP/1.1, 200, 0.072081
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/js/jquery.js, HTTP/1.1, 304, 0.000605
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/css/calendar.css, HTTP/1.1, 304, 0.000539
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/js/calendar.js, HTTP/1.1, 304, 0.000491
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 304, 0.000516
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 304, 0.001594
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 304, 0.000793
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/css/styles.css, HTTP/1.1, 304, 0.001198
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/js/web2py_ajax.js, HTTP/1.1, 304, 0.002289
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 304, 0.003129
127.0.0.1, 2014-07-16 21:55:58, GET, /admin/static/images/help.png, HTTP/1.1, 304, 0.000504
127.0.0.1, 2014-07-16 21:55:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000301
127.0.0.1, 2014-07-16 21:58:59, GET, /, HTTP/1.1, 303, 9.141226
